category,rank,image_id,unet_dice,sam3_dice,delta_dice_sam3_minus_unet,unet_iou,sam3_iou,delta_iou_sam3_minus_unet,winner,display_candidate,phenomenon_tags,initial_reason,original_pattern,gt_mask_pattern
sam3_strong_win,1,79a7691a90b1_15,0.851248324,0.994927757,0.143679433,0.741020381,0.98990671,0.248886328,SAM3,yes,,,data/imgs/79a7691a90b1_15.*,data/masks/79a7691a90b1_15_mask.*
sam3_strong_win,2,79a7691a90b1_13,0.856427312,0.993100598,0.136673286,0.748904943,0.986295747,0.237390803,SAM3,yes,,,data/imgs/79a7691a90b1_13.*,data/masks/79a7691a90b1_13_mask.*
sam3_strong_win,3,79a7691a90b1_07,0.859956205,0.994863248,0.134907043,0.754318595,0.989778998,0.235460403,SAM3,yes,,,data/imgs/79a7691a90b1_07.*,data/masks/79a7691a90b1_07_mask.*
sam3_strong_win,4,79a7691a90b1_14,0.858814418,0.993615003,0.134800585,0.752563357,0.987311026,0.234747668,SAM3,no,,,data/imgs/79a7691a90b1_14.*,data/masks/79a7691a90b1_14_mask.*
sam3_strong_win,5,8d5423cb763c_09,0.868220866,0.99590945,0.127688584,0.767129242,0.991852228,0.224722986,SAM3,no,,,data/imgs/8d5423cb763c_09.*,data/masks/8d5423cb763c_09_mask.*
sam3_strong_win,6,eeb7eeca738e_10,0.871062636,0.995706348,0.124643712,0.771577537,0.99144941,0.219871873,SAM3,no,,,data/imgs/eeb7eeca738e_10.*,data/masks/eeb7eeca738e_10_mask.*
sam3_strong_win,7,11fcda0a9e1c_01,0.876729369,0.995492238,0.118762869,0.780514836,0.991024933,0.210510097,SAM3,no,,,data/imgs/11fcda0a9e1c_01.*,data/masks/11fcda0a9e1c_01_mask.*
sam3_strong_win,8,eeb7eeca738e_07,0.876101971,0.994145433,0.118043463,0.779520869,0.988359019,0.20883815,SAM3,no,,,data/imgs/eeb7eeca738e_07.*,data/masks/eeb7eeca738e_07_mask.*
sam3_strong_win,9,0495dcf27283_01,0.875551581,0.991647572,0.116095991,0.778649807,0.983433515,0.204783708,SAM3,no,,,data/imgs/0495dcf27283_01.*,data/masks/0495dcf27283_01_mask.*
sam3_strong_win,10,878738468f6b_01,0.886522174,0.99361518,0.107093006,0.796174049,0.987311374,0.191137324,SAM3,no,,,data/imgs/878738468f6b_01.*,data/masks/878738468f6b_01_mask.*
unet_strong_win,1,430f0cb5666c_05,0.987683415,0.977521804,-0.010161612,0.975666523,0.956031931,-0.019634592,U-Net,yes,,,data/imgs/430f0cb5666c_05.*,data/masks/430f0cb5666c_05_mask.*
unet_strong_win,2,69915dab0755_13,0.990794659,0.981259939,-0.00953472,0.981757224,0.963209337,-0.018547887,U-Net,yes,,,data/imgs/69915dab0755_13.*,data/masks/69915dab0755_13_mask.*
unet_strong_win,3,90b65c521a8b_03,0.994398534,0.988232546,-0.006165988,0.988859475,0.976738817,-0.012120658,U-Net,yes,,,data/imgs/90b65c521a8b_03.*,data/masks/90b65c521a8b_03_mask.*
unet_strong_win,4,36a3f7f77e85_05,0.995383322,0.989779727,-0.005603596,0.990809083,0.979766248,-0.011042835,U-Net,no,,,data/imgs/36a3f7f77e85_05.*,data/masks/36a3f7f77e85_05_mask.*
unet_strong_win,5,9274d0b3caa8_05,0.994513333,0.988949516,-0.005563817,0.989086628,0.978140589,-0.010946039,U-Net,no,,,data/imgs/9274d0b3caa8_05.*,data/masks/9274d0b3caa8_05_mask.*
unet_strong_win,6,a078586ccdee_13,0.992342591,0.98696244,-0.005380151,0.98480159,0.974260461,-0.010541129,U-Net,no,,,data/imgs/a078586ccdee_13.*,data/masks/a078586ccdee_13_mask.*
unet_strong_win,7,f591b4f2e006_05,0.987123847,0.982433076,-0.004690771,0.974575043,0.965472691,-0.009102352,U-Net,no,,,data/imgs/f591b4f2e006_05.*,data/masks/f591b4f2e006_05_mask.*
unet_strong_win,8,69915dab0755_03,0.994045436,0.989589615,-0.004455821,0.988161385,0.979393749,-0.008767636,U-Net,no,,,data/imgs/69915dab0755_03.*,data/masks/69915dab0755_03_mask.*
unet_strong_win,9,90b65c521a8b_16,0.994907379,0.990600693,-0.004306686,0.989866376,0.981376434,-0.008489941,U-Net,no,,,data/imgs/90b65c521a8b_16.*,data/masks/90b65c521a8b_16_mask.*
unet_strong_win,10,48b3f0c936b5_04,0.994120479,0.990090158,-0.00403032,0.988309741,0.980374799,-0.007934942,U-Net,no,,,data/imgs/48b3f0c936b5_04.*,data/masks/48b3f0c936b5_04_mask.*
near_tie,1,28d9a149cb02_11,0.992848337,0.992839672,-8.66443E-06,0.98579824,0.985781156,-1.70836E-05,near_tie,yes,,,data/imgs/28d9a149cb02_11.*,data/masks/28d9a149cb02_11_mask.*
near_tie,2,344ece157efc_16,0.988331854,0.98830273,-2.91246E-05,0.976932824,0.976875948,-5.68759E-05,near_tie,yes,,,data/imgs/344ece157efc_16.*,data/masks/344ece157efc_16_mask.*
near_tie,3,42a3297ccd4b_10,0.994660854,0.994700117,3.92627E-05,0.989378393,0.989456115,7.77228E-05,near_tie,no,,,data/imgs/42a3297ccd4b_10.*,data/masks/42a3297ccd4b_10_mask.*
near_tie,4,917f262f1608_15,0.992039621,0.991996907,-4.27138E-05,0.984205008,0.984120896,-8.41114E-05,near_tie,no,,,data/imgs/917f262f1608_15.*,data/masks/917f262f1608_15_mask.*
near_tie,5,85cba1a00135_04,0.995532632,0.995575621,4.29888E-05,0.99110502,0.991190219,8.5199E-05,near_tie,no,,,data/imgs/85cba1a00135_04.*,data/masks/85cba1a00135_04_mask.*
